0001	无装备
00dc	修罗【御手】
00dd	金色之笼手
00de	黑子之笼手
00df	祖龍之爪
00e0	祖龍之拳
00e1	黑带Ｓ臂甲
00e2	白速龙之爪
00e3	蛇龙之爪
00e4	公会骑士手套
00e5	公会骑士袖扣
00e6	女仆褶袖
00e7	便服褶袖
00e8	公会卫队手套苍
00e9	公会卫队袖扣苍
00ea	公会卫队手套苍
00eb	公会卫队袖扣苍
00ec	美国螯虾臂甲
00ed	美国螯虾护臂
00ee	破龍之笼手
