0001	无装备
0089	精炼矿石Ｓ胫甲
008a	精炼矿石Ｓ护胫
008b	黄速龙Ｓ胫甲
008c	黄速龙Ｓ护胫
008d	怪鸟Ｓ胫甲
008e	怪鸟Ｓ护胫
008f	红速龙Ｓ胫甲
0090	红速龙Ｓ护胫
0091	毒怪鸟Ｓ胫甲
0092	毒怪鸟Ｓ护胫
0093	砂龙Ｓ胫甲
0094	砂龙Ｓ护胫
0095	雌火龙Ｓ胫甲
0096	雌火龙Ｓ护胫
0097	电龙Ｓ胫甲
0098	电龙Ｓ护胫
0099	雄火龙Ｓ胫甲
009a	雄火龙Ｓ护胫
009b	水龙Ｓ胫甲
009c	水龙Ｓ护胫
009d	岩龙Ｓ胫甲
009e	岩龙Ｓ护胫
009f	角龙Ｓ胫甲
00a0	角龙Ｓ护胫
00a1	一角龙Ｓ胫甲
00a2	一角龙Ｓ护胫
00a3	铠龙Ｓ胫甲
00a4	铠龙Ｓ护胫
00a5	忍之足袋・天
00a6	忍之足袋・地
00a7	公会卫队长筒靴红
00a8	公会卫队紧身裤红
00a9	公会卫队长筒靴红
00aa	公会卫队紧身裤红
00ab	晓丸・霸【具足】
00ac	曙丸・霸【具足】
00ad	凛・霸【裤】
00ae	艳・霸【裤】
00af	邪龍Ｓ之足
00b0	邪龍Ｓ之胫
00b1	盾蟹胫甲
00b2	盾蟹护胫
00b3	盾蟹Ｕ胫甲
00b4	盾蟹Ｕ护胫
00b5	盾蟹Ｓ胫甲
00b6	盾蟹Ｓ护胫
00b7	桃毛胫甲
00b8	桃毛护胫
00b9	桃毛Ｕ胫甲
00ba	桃毛Ｕ护胫
00bb	桃毛Ｓ胫甲
00bc	桃毛Ｓ护胫
00bd	雪狮胫甲
00be	雪狮护胫
00bf	雪狮Ｕ胫甲
00c0	雪狮Ｕ护胫
00c1	雪狮Ｓ胫甲
00c2	雪狮Ｓ护胫
00c3	镰蟹胫甲
00c4	镰蟹护胫
00c5	镰蟹Ｕ胫甲
00c6	镰蟹Ｕ护胫
00c7	镰蟹Ｓ胫甲
00c8	镰蟹Ｓ护胫
00c9	麒麟胫甲
00ca	麒麟长靴
00cb	麒麟Ｓ胫甲
00cc	麒麟Ｓ长靴
00cd	乞沙拏胫甲
00ce	乞沙拏护胫
00cf	弥都波【具足】
00d0	丰玉【具足】
00d1	女帝胫甲
00d2	女帝护胫
00d3	金刚【具足】
00d4	不动【具足】
00d5	凯撒胫甲
00d6	凯撒护胫
00d7	夜叉【御足】
00d8	修罗【御足】
00d9	金色之裤
00da	黑子之足袋
00db	祖龍之足
00dc	祖龍护胫
00dd	黑带Ｓ胫甲
00de	白速龙之足
00df	蛇龙之足
00e0	公会骑士长筒靴
00e1	公会骑士紧身裤
00e2	女仆长筒袜
00e3	便服紧身袜
00e4	公会卫队长筒靴苍
00e5	公会卫队紧身裤苍
00e6	公会卫队长筒靴苍
00e7	公会卫队紧身裤苍
00e8	帝王龙虾胫甲
00e9	帝王龙虾护胫
00ea	美国螯虾胫甲
00eb	美国螯虾护胫
00ec	合金靴・刃
