0001	无装备
00c8	雪狮Ｓ头盔
00c9	雪狮Ｓ软帽
00ca	镰蟹头盔
00cb	镰蟹软帽
00cc	镰蟹Ｕ头盔
00cd	镰蟹Ｕ软帽
00ce	镰蟹Ｓ头盔
00cf	镰蟹Ｓ软帽
00d0	麒麟角冠
00d1	麒麟头冠
00d2	麒麟Ｓ角冠
00d3	麒麟Ｓ头冠
00d4	乞沙拏刃头盔
00d5	乞沙拏尖头盔
00d6	弥都波【乌帽子】
00d7	丰玉【乌帽子】
00d8	女帝皇冠
00d9	女帝皇面
00da	金刚【兜】
00db	不动【兜】
00dc	凯撒皇冠
00dd	凯撒皇面
00de	夜叉【御面】
00df	修罗【御面】
00e0	金色之添发
00e1	黑子之面隐
00e2	祖龍之首
00e3	祖龍之面
00e4	黑带Ｓ头盔
00e5	白速龙伪装头
00e6	蛇龙伪装头
00e7	公会骑士羽帽
00e8	公会骑士面具
00e9	女仆发箍
00ea	便服眼镜
00eb	银霜耳饰
00ec	公会卫队冠帽苍
00ed	公会卫队面具苍
00ee	公会卫队佩帽苍
00ef	公会卫队耳饰苍
00f0	帝王龙虾软帽
00f1	技之耳饰
00f2	力之耳饰
00f3	命之耳饰
00f4	名人耳饰
00f5	职人耳饰
00f6	超凡耳饰
00f7	强运耳饰
00f8	恶运耳饰
00f9	护人耳饰
00fa	勇者耳饰
00fb	美国螯虾头甲
00fc	美国螯虾软帽
00fd	曳光耳饰
